pclass;survived;sex;age;edad;clase;sobreviviente;
1;1;1;female;29;ADULTO;PRIMERA;SI
2;1;1;male;0;MENOR;PRIMERA;SI
3;1;0;female;2;MENOR;PRIMERA;NO
4;1;0;male;30;ADULTO;PRIMERA;NO
5;1;0;female;25;ADULTO;PRIMERA;NO
6;1;1;male;48;ADULTO;PRIMERA;SI
7;1;1;female;63;ADULTO;PRIMERA;SI
8;1;0;male;39;ADULTO;PRIMERA;NO
9;1;1;female;53;ADULTO;PRIMERA;SI
10;1;0;male;71;ADULTO;PRIMERA;NO
11;1;0;male;47;ADULTO;PRIMERA;NO
12;1;1;female;18;ADULTO;PRIMERA;SI
13;1;1;female;24;ADULTO;PRIMERA;SI
14;1;1;female;26;ADULTO;PRIMERA;SI
15;1;1;male;80;ADULTO;PRIMERA;SI
16;1;0;male;0;ADULTO;PRIMERA;NO
17;1;0;male;24;ADULTO;PRIMERA;NO
18;1;1;female;50;ADULTO;PRIMERA;SI
19;1;1;female;32;ADULTO;PRIMERA;SI
20;1;0;male;36;ADULTO;PRIMERA;NO
21;1;1;male;37;ADULTO;PRIMERA;SI
22;1;1;female;47;ADULTO;PRIMERA;SI
23;1;1;male;26;ADULTO;PRIMERA;SI
24;1;1;female;42;ADULTO;PRIMERA;SI
25;1;1;female;29;ADULTO;PRIMERA;SI
26;1;0;male;25;ADULTO;PRIMERA;NO
27;1;1;male;25;ADULTO;PRIMERA;SI
28;1;1;female;19;ADULTO;PRIMERA;SI
29;1;1;female;35;ADULTO;PRIMERA;SI
30;1;1;male;28;ADULTO;PRIMERA;SI
31;1;0;male;45;ADULTO;PRIMERA;NO
32;1;1;male;40;ADULTO;PRIMERA;SI
33;1;1;female;30;ADULTO;PRIMERA;SI
34;1;1;female;58;ADULTO;PRIMERA;SI
35;1;0;male;42;ADULTO;PRIMERA;NO
36;1;1;female;45;ADULTO;PRIMERA;SI
37;1;1;female;22;ADULTO;PRIMERA;SI
38;1;1;male;0;ADULTO;PRIMERA;SI
39;1;0;male;41;ADULTO;PRIMERA;NO
40;1;0;male;48;ADULTO;PRIMERA;NO
41;1;0;male;0;ADULTO;PRIMERA;NO
42;1;1;female;44;ADULTO;PRIMERA;SI
43;1;1;female;59;ADULTO;PRIMERA;SI
44;1;1;female;60;ADULTO;PRIMERA;SI
45;1;1;female;41;ADULTO;PRIMERA;SI
46;1;0;male;45;ADULTO;PRIMERA;NO
47;1;0;male;0;ADULTO;PRIMERA;NO
48;1;1;male;42;ADULTO;PRIMERA;SI
49;1;1;female;53;ADULTO;PRIMERA;SI
50;1;1;male;36;ADULTO;PRIMERA;SI
